"Account login","Account login"
"Account password","Account password"
"Active","פעיל"
"Add Attribute Mapping","תכונה - הוסף מיפוי"
"Add New Attribute","הוספת תיאור חדש"
"Add to Google Base","הוסף ל- Google Base"
"Are you sure?","האם אתה בטוח?"
"Attribute","תכונה"
"Attribute Set","סט תכונות"
"Attribute Set and Item Type","סט תכונות וסוג פריט"
"Attributes","תכונות"
"Attributes Set","סט תכונות"
"Attributes mapping","Attributes mapping"
"AuthSub","AuthSub"
"Available Products","מוצרים זמינים"
"British Pound Sterling","סטרלינג בריטי"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmation error: %s","שגיאה באישור ויזואלי: %s"
"Captcha confirmed successfully","Captcha confirmed successfully"
"Clicks","קליקים"
"ClientLogin","ClientLogin"
"Confirm","אשר"
"Current Mapping will be reloaded. Continue?","Current Mapping will be reloaded. Continue?"
"Custom attribute, no mapping","תכונה מותאמת אישית, ללא מיפוי"
"Default Store (%s)","Default Store (%s)"
"Delete","מחק/מחיקה"
"Delete Mapping","מחק מיפוי"
"Edit Item Type","ערוך סוג פריט"
"Edit Item Type ""%s""","ערוך סוג פריט ""%s"""
"Error: %s","שגיאה: %s"
"Euro","יורו"
"Expires","פג תוקף"
"Germany","גרמניה"
"Google Base","Google Base"
"Google Base Attribute","Google Base Attribute"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base Item Type"
"Google Base Item type","Google Base Item type"
"Google Base Items","Google Base Items"
"Hide","הסתר"
"Impr.","ייבוא"
"Invalid Product Model for Google Base Item","Invalid Product Model for Google Base Item"
"Item Type was deleted","סוג הפריט נמחק"
"Item Types","סוגי פריטים"
"Item model is not specified to delete Google Base entry","Item model is not specified to delete Google Base entry"
"Item type was successfully saved","Item type was successfully saved"
"Items","פריטים"
"Manage Attribute Mapping","ניהול מיפוי תכונות"
"Manage Attributes","ניהול תכונות/מאפיינים"
"Manage Items","ניהול פריטים"
"New Item Type","New Item Type"
"No","לא"
"No items were deleted from Google Base","No items were deleted from Google Base"
"No items were published","No items were published"
"No items were saved as Inactive items","No items were saved as Inactive items"
"No products were added to Google Base","No products were added to Google Base"
"Object model is not specified to save Google Base entry","Object model is not specified to save Google Base entry"
"Page views","Page views"
"Please, select Attribute Set and Google Item Type to load attributes","Please, select Attribute Set and Google Item Type to load attributes"
"Product Name","שם המוצר"
"Publish","Publish"
"Published","Published"
"Remove","הסר"
"Save Mapping","Save Mapping"
"Synchronize","Synchronize"
"Target Country","Target Country"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","This action will update items statistics and remove the items which are not available in Google Base. Continue?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated"
"Total of %d items(s) were successfully published","Total of %d items(s) were successfully published"
"Total of %d items(s) were successfully removed from Google Base","Total of %d items(s) were successfully removed from Google Base"
"Total of %d items(s) were successfully saved as Inactive items","Total of %d items(s) were successfully saved as Inactive items"
"Total of %d product(s) were successfully added to Google Base","Total of %d product(s) were successfully added to Google Base"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Unable to connect to Google Base. Please, check Account settings in configuration."
"United Kingdom","אנגליה"
"United States","ארה""ב"
"Update Google Base item when product is updated","Update Google Base item when product is updated"
"View Available Products","View Available Products"
"View Item in Google Base","View Item in Google Base"
"Yes","כן"
