"* Select shipping method","* בחר אופן שילוח"
"AVS Status: %s","AVS סטטוס: %s"
"Add","הוסף"
"Add Shipping Method","הוסף שיטת שילוח"
"Allowed Methods","פעולות מורשות"
"Amount: %s","כמות: %s"
"Auto-generated from GoogleCheckout Charge","Auto-generated from GoogleCheckout Charge"
"Buyer account age: %s days","וותק החשבון: %s ימים"
"CC Partial: xxxx-%s","CC Partial: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Carrier Calculated Methods"
"Cart Discount","הנחת עגלת קניות"
"Checkout Image Style","סוג תמונה בצ'ק אאוט"
"Continue Shopping URL","כתובת להמשך קנייה"
"Debug","אתר שגיאות"
"Default Package Height (in)","חבילה - גובה ברירת מחדל (אינצ)"
"Default Package Length (in)","חבילה - אורך ברירת מחדל (אינצ)"
"Default Package Width (in)","חבילה - רוחב ברירת מחדל (אינצ)"
"Default price for methods","Default price for methods"
"Default price:","מחיר ברירת מחדל:"
"Delivery Address Category","קטגוריית כתובת מסירה"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","כבה את טבלות המס של ברירת המחדל"
"Eligible for protection: %s","Eligible for protection: %s"
"Enable","אפשר"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","תפוגה: %s"
"Financial: %s -> %s","Financial: %s -> %s"
"Free Shipping","שילוח חינם"
"Fulfillment: %s -> %s","Fulfillment: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Authorization:"
"Google Buyer Id: %s","Google Buyer Id: %s"
"Google Charge:","Google Charge:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping - Carrier Calculated"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google Checkout Shipping - Flat Rate"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Shipping - Merchant Calculated"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google Order Number: %s"
"Google Refund:","Google Refund:"
"Google Risk Information:","Google Risk Information:"
"Google order status change:","Google order status change:"
"Hide Cart Contents During Checkout","הסתר תוכן עגלה בזמן התשלום"
"IP Address: %s","כתובת IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","חשבונית נוצרה אוטומטית: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","גדול - %s"
"Latest Charge: %s","חיוב אחרון: %s"
"Latest Refund: %s","החזר אחרון: %s"
"Location","מיקום/אתר"
"Medium - %s","בינוני - %s"
"Merchant ID","קוד סוחר"
"Merchant Key","מפתח סוחר"
"Method","Method"
"New order status","סטטוס הזמנה חדשה"
"No","לא"
"Optional, leave empty for home page.","אופציונלי, השאר ריק לעמוד הבית"
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","הסר"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Sandbox","Sandbox"
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"Total Charged: %s","סה""כ חוייב: %s"
"Total Refunded: %s","סה""כ הוחזר: %s"
"Transparent","Transparent"
"United Kingdom","אנגליה"
"United States","ארה""ב"
"Virtual item to reflect discount total","Virtual item to reflect discount total"
"White Background","רקע לבן"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
