"All Websites","כל האתרים"
"Apply Percent Discounts To FPT","Apply Percent Discounts To FPT"
"Apply Tax To FPT","Apply Tax To FPT"
"Display Prices In Emails","הצג מחירים באימייל"
"Display Prices In Product Lists","הצג מחירים ברשימת מוצרים"
"Display Prices In Sales Modules","הצג מחירים במודול מכירות"
"Display Prices On Product View Page","הצג מחירים בעמוד מוצר"
"Enable FPT","Enable FPT"
"Excluding FPT","Excluding FPT"
"Excluding FPT, FPT description, final price","Excluding FPT, FPT description, final price"
"Fixed Product Tax","מס קבוע למוצר"
"Fixed Product Taxes","מיסים קבועים למוצר"
"Include FPT In Subtotal","Include FPT In Subtotal"
"Including FPT and FPT description [excl. FPT VAT]","Including FPT and FPT description [excl. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","Including FPT and FPT description [incl. FPT VAT]"
"Including FPT only","Including FPT only"
"Total","סה""כ"
"Total incl. tax","Total incl. tax"
